Date,Open,High,Low,Close,Adj Close,Volume
2016-12-29,0.692665,0.697156,0.691850,0.692713,0.692713,0
2016-12-30,0.697204,0.697496,0.694493,0.697204,0.697204,0
2017-01-02,0.693433,0.695749,0.691659,0.693433,0.693433,0
2017-01-03,0.693001,0.697788,0.688800,0.693193,0.693193,0
2017-01-04,0.692137,0.695701,0.689227,0.692377,0.692377,0
2017-01-05,0.697204,0.702988,0.695555,0.696330,0.696330,0
2017-01-06,0.701951,0.704176,0.698519,0.702149,0.702149,0
2017-01-09,0.696816,0.701311,0.695169,0.696767,0.696767,0
2017-01-10,0.701508,0.704821,0.696185,0.701804,0.701804,0
2017-01-11,0.698617,0.702198,0.696476,0.698422,0.698422,0
2017-01-12,0.706614,0.713776,0.704771,0.706714,0.706714,0
2017-01-13,0.711389,0.714082,0.707614,0.711187,0.711187,0
2017-01-16,0.712428,0.712891,0.707869,0.713160,0.713160,0
2017-01-17,0.710192,0.720877,0.709779,0.710071,0.710071,0
2017-01-18,0.720321,0.720991,0.718102,0.720279,0.720279,0
2017-01-19,0.712891,0.719901,0.711901,0.712819,0.712819,0
2017-01-20,0.719632,0.722522,0.713140,0.719342,0.719342,0
2017-01-23,0.718763,0.722590,0.717901,0.718969,0.718969,0
2017-01-24,0.723479,0.727701,0.721163,0.723610,0.723610,0
2017-01-25,0.725211,0.728550,0.722721,0.725689,0.725689,0
2017-01-26,0.730428,0.730722,0.722820,0.730082,0.730082,0
2017-01-27,0.724281,0.728412,0.723322,0.724501,0.724501,0
2017-01-30,0.727357,0.728582,0.723982,0.727267,0.727267,0
2017-01-31,0.729331,0.735062,0.727241,0.729522,0.729522,0
2017-02-01,0.729501,0.729714,0.725079,0.729432,0.729432,0
2017-02-02,0.725890,0.733703,0.725890,0.725431,0.725431,0
2017-02-03,0.728688,0.733159,0.726290,0.728560,0.728560,0
2017-02-06,0.731277,0.732832,0.728709,0.731470,0.731470,0
2017-02-07,0.732022,0.737458,0.728221,0.731738,0.731738,0
2017-02-08,0.729607,0.733321,0.728571,0.729799,0.729799,0
2017-02-09,0.723652,0.723798,0.717530,0.723552,0.723552,0
2017-02-10,0.719062,0.720658,0.717509,0.719538,0.719538,0
2017-02-13,0.719109,0.721902,0.715748,0.719424,0.719424,0
2017-02-14,0.718148,0.719818,0.713980,0.718050,0.718050,0
2017-02-15,0.717309,0.719642,0.714832,0.717288,0.717288,0
2017-02-16,0.721980,0.724249,0.720778,0.722272,0.722272,0
2017-02-17,0.721163,0.722142,0.718252,0.721548,0.721548,0
2017-02-20,0.718262,0.719476,0.717129,0.718190,0.718190,0
2017-02-21,0.717448,0.717710,0.713170,0.717618,0.717618,0
2017-02-22,0.716322,0.717659,0.715088,0.716440,0.716440,0
2017-02-23,0.718159,0.724580,0.717499,0.718179,0.718179,0
2017-02-24,0.723118,0.723830,0.719611,0.723040,0.723040,0
2017-02-27,0.718881,0.721881,0.718850,0.719217,0.719217,0
2017-02-28,0.718282,0.723531,0.717921,0.718530,0.718530,0
2017-03-01,0.717329,0.718582,0.710232,0.717221,0.717221,0
2017-03-02,0.711870,0.714658,0.706999,0.711470,0.711470,0
2017-03-03,0.705940,0.706689,0.701139,0.706240,0.706240,0
2017-03-06,0.703631,0.704821,0.700511,0.703759,0.703759,0
2017-03-07,0.699599,0.701661,0.697379,0.699408,0.699408,0
2017-03-08,0.696209,0.697871,0.691740,0.696398,0.696398,0
2017-03-09,0.691630,0.691812,0.689189,0.691678,0.691678,0
2017-03-10,0.689722,0.694821,0.689360,0.689660,0.689660,0
2017-03-13,0.692190,0.695062,0.691529,0.692358,0.692358,0
2017-03-14,0.692042,0.693582,0.689417,0.691812,0.691812,0
2017-03-15,0.692871,0.696151,0.692660,0.692938,0.692938,0
2017-03-16,0.702548,0.704359,0.697238,0.702741,0.702741,0
2017-03-17,0.698329,0.702494,0.698080,0.698319,0.698319,0
2017-03-20,0.702859,0.707249,0.702548,0.702859,0.702859,0
2017-03-21,0.705020,0.709220,0.703438,0.704920,0.704920,0
2017-03-22,0.704077,0.705980,0.701779,0.704141,0.704141,0
2017-03-23,0.704042,0.705592,0.702810,0.704042,0.704042,0
2017-03-24,0.702928,0.703779,0.699628,0.702928,0.702928,0
2017-03-27,0.704538,0.707114,0.704141,0.704558,0.704558,0
2017-03-28,0.704791,0.704861,0.700791,0.704791,0.704791,0
2017-03-29,0.700918,0.703131,0.699491,0.700820,0.700820,0
2017-03-30,0.703710,0.703750,0.700741,0.703378,0.703378,0
2017-03-31,0.700251,0.700251,0.697749,0.700359,0.700359,0
2017-04-03,0.700329,0.701705,0.698778,0.700491,0.700491,0
2017-04-04,0.701730,0.701912,0.697180,0.701750,0.701750,0
2017-04-05,0.697759,0.698617,0.695318,0.697642,0.697642,0
2017-04-06,0.697579,0.698758,0.696350,0.697720,0.697720,0
2017-04-07,0.697209,0.699149,0.694850,0.697379,0.697379,0
2017-04-10,0.694040,0.696718,0.692262,0.694170,0.694170,0
2017-04-11,0.696330,0.696612,0.693198,0.696452,0.696452,0
2017-04-12,0.695652,0.696049,0.691563,0.695889,0.695889,0
2017-04-13,0.699359,0.701410,0.698719,0.699359,0.699359,0
2017-04-14,0.699511,0.701115,0.698768,0.699580,0.699580,0
2017-04-17,0.701572,0.703878,0.700609,0.701479,0.701479,0
2017-04-18,0.701302,0.704032,0.700211,0.701228,0.701228,0
2017-04-19,0.704652,0.705378,0.700040,0.704602,0.704602,0
2017-04-20,0.703908,0.705189,0.700771,0.703898,0.703898,0
2017-04-21,0.699090,0.702296,0.698949,0.699022,0.699022,0
2017-04-24,0.704240,0.704821,0.701868,0.704220,0.704220,0
2017-04-25,0.701469,0.701562,0.694551,0.701351,0.701351,0
2017-04-26,0.695130,0.695222,0.687498,0.695062,0.695062,0
2017-04-27,0.690489,0.692142,0.685011,0.690260,0.690260,0
2017-04-28,0.688331,0.688620,0.685321,0.688350,0.688350,0
2017-05-01,0.687488,0.692521,0.685349,0.687389,0.687389,0
2017-05-02,0.692219,0.693669,0.690560,0.692262,0.692262,0
2017-05-03,0.696359,0.696359,0.689969,0.696258,0.696258,0
2017-05-04,0.688700,0.689208,0.684149,0.688658,0.688658,0
2017-05-05,0.687380,0.692281,0.686328,0.687569,0.687569,0
2017-05-08,0.689898,0.694469,0.688961,0.690088,0.690088,0
2017-05-09,0.692271,0.692588,0.688141,0.692089,0.692089,0
2017-05-10,0.689722,0.695072,0.689128,0.689798,0.689798,0
2017-05-11,0.683121,0.686361,0.682151,0.683359,0.683359,0
2017-05-12,0.684360,0.687148,0.682869,0.684388,0.684388,0
2017-05-15,0.686662,0.691749,0.686549,0.686639,0.686639,0
2017-05-16,0.689042,0.690741,0.686488,0.689028,0.689028,0
2017-05-17,0.689071,0.694112,0.687938,0.689042,0.689042,0
2017-05-18,0.693958,0.694661,0.691142,0.693972,0.693972,0
2017-05-19,0.689332,0.691898,0.688269,0.689560,0.689560,0
2017-05-22,0.693371,0.699692,0.692190,0.693428,0.693428,0
2017-05-23,0.700560,0.704761,0.699408,0.700471,0.700471,0
2017-05-24,0.701100,0.704300,0.699032,0.700908,0.700908,0
2017-05-25,0.704508,0.705592,0.701799,0.704632,0.704632,0
2017-05-26,0.701961,0.707689,0.700859,0.701858,0.701858,0
2017-05-29,0.705139,0.709019,0.703982,0.705159,0.705159,0
2017-05-30,0.705149,0.709628,0.703651,0.705159,0.705159,0
2017-05-31,0.708612,0.711881,0.708351,0.708642,0.708642,0
2017-06-01,0.708361,0.708918,0.706020,0.708341,0.708341,0
2017-06-02,0.706250,0.714694,0.706230,0.706200,0.706200,0
2017-06-05,0.713628,0.714720,0.711541,0.713720,0.713720,0
2017-06-06,0.713140,0.720529,0.712769,0.713058,0.713058,0
2017-06-07,0.717891,0.720742,0.717108,0.718061,0.718061,0
2017-06-08,0.719031,0.722361,0.719031,0.718969,0.718969,0
2017-06-09,0.719932,0.721959,0.719217,0.719870,0.719870,0
2017-06-12,0.720918,0.721371,0.717530,0.720830,0.720830,0
2017-06-13,0.720669,0.722831,0.720669,0.720612,0.720612,0
2017-06-14,0.720690,0.731952,0.720690,0.720658,0.720658,0
2017-06-15,0.724769,0.726158,0.718742,0.724569,0.724569,0
2017-06-16,0.720352,0.725900,0.720269,0.720352,0.720352,0
2017-06-19,0.726681,0.729874,0.723992,0.726438,0.726438,0
2017-06-20,0.722559,0.726829,0.722110,0.722601,0.722601,0
2017-06-21,0.723819,0.725426,0.721511,0.723919,0.723919,0
2017-06-22,0.724758,0.727400,0.724559,0.724869,0.724869,0
2017-06-23,0.726248,0.729773,0.725058,0.726190,0.726190,0
2017-06-26,0.728162,0.731170,0.726322,0.728412,0.728412,0
2017-06-27,0.728200,0.734112,0.727320,0.728438,0.728438,0
2017-06-28,0.726781,0.730871,0.725531,0.726681,0.726681,0
2017-06-29,0.730498,0.733310,0.727728,0.730492,0.730492,0
2017-06-30,0.731042,0.734452,0.730962,0.730962,0.730962,0
2017-07-03,0.733579,0.733929,0.727431,0.733681,0.733681,0
2017-07-04,0.728900,0.730300,0.726449,0.728868,0.728868,0
2017-07-05,0.729129,0.729698,0.725668,0.729192,0.729192,0
2017-07-06,0.728131,0.728868,0.724711,0.728428,0.728428,0
2017-07-07,0.728539,0.730882,0.726222,0.728438,0.728438,0
2017-07-10,0.727940,0.728412,0.726412,0.727680,0.727680,0
2017-07-11,null,null,null,null,null,null
2017-07-12,0.722110,0.727871,0.721917,0.722288,0.722288,0
2017-07-13,0.725600,0.736811,0.725600,0.725631,0.725631,0
